"Year","Round","Region Number","Region Name","Home_Seed","Home_Score","Home_Team","Away_Team","Away_Score","Away_Seed","Home_Conference","Away_Conference"
"2017","1","2","West","4","86","West Virginia","Bucknell","80","13","B12","Pat"
"2017","1","2","West","5","60","Notre Dame","Princeton","58","12","ACC","Ivy"
"2017","1","2","West","6","65","Maryland","Xavier","76","11","B10","BE"
"2017","1","2","West","7","85","St Marys","VCU","77","10","WCC","A10"
"2017","1","2","West","8","68","Northwestern","Vanderbilt","66","9","B10","SEC"
"2017","1","2","West","1","66","Gonzaga","South Dakota St","46","16","WCC","Sum"
"2017","1","3","Midwest","2","78","Louisville","Jacksonville St","63","15","ACC","OVC"
"2017","1","3","Midwest","3","93","Oregon","Iona","77","14","P12","MAAC"
"2017","1","3","Midwest","4","80","Purdue","Vermont","70","13","B10","AE"
"2017","1","3","Midwest","5","84","Iowa St","Nevada","73","12","B12","MWC"
"2017","1","3","Midwest","6","72","Creighton","Rhode Island","84","11","BE","A10"
"2017","1","3","Midwest","7","92","Michigan","Oklahoma St","91","10","B10","B12"
"2017","1","3","Midwest","8","58","Miami","Michigan St","78","9","ACC","B10"
"2017","1","3","Midwest","1","100","Kansas","UC Davis","62","16","B12","BW"
"2017","1","4","South","3","97","UCLA","Kent St","80","14","P12","MAC"
"2017","1","4","South","4","76","Butler","Winthrop","64","13","BE","BSth"
"2017","1","4","South","5","72","Minnesota","Middle Tennessee St","81","12","B10","CUSA"
"2017","1","4","South","6","75","Cincinnati","Kansas St","61","11","Amer","B12"
"2017","1","4","South","8","77","Arkansas","Seton Hall","71","9","SEC","BE"
"2017","1","4","South","1","103","North Carolina","Texas Southern","64","16","ACC","SWAC"
"2017","2","1","East","2","81","Duke","South Carolina","88","7","ACC","SEC"
"2017","2","1","East","3","82","Baylor","USC","78","11","B12","P12"
"2017","2","1","East","4","65","Florida","Virginia","39","5","SEC","ACC"
"2017","2","1","East","1","62","Villanova","Wisconsin","65","8","BE","B10"
"2017","2","2","West","1","79","Gonzaga","Northwestern","73","8","WCC","B10"
"2017","2","2","West","2","69","Arizona","St Marys","60","7","P12","WCC"
"2017","2","2","West","3","66","Florida St","Xavier","91","11","ACC","BE"
"2017","2","2","West","4","83","West Virginia","Notre Dame","71","5","B12","ACC"
"2017","2","3","Midwest","4","80","Purdue","Iowa St","76","5","B10","B12"
"2017","2","3","Midwest","2","69","Louisville","Michigan","73","7","ACC","B10"
"2017","2","3","Midwest","3","75","Oregon","Rhode Island","72","11","P12","A10"
"2017","2","3","Midwest","1","90","Kansas","Michigan St","70","9","B12","B10"
"2017","2","4","South","3","79","UCLA","Cincinnati","67","6","P12","Amer"
"2017","2","4","South","1","72","North Carolina","Arkansas","65","8","ACC","SEC"
"2017","2","4","South","4","74","Butler","Middle Tennessee St","65","12","BE","CUSA"
"2017","3","1","East","8","83","Wisconsin","Florida","84","4","B10","SEC"
"2017","3","1","East","7","70","South Carolina","Baylor","50","3","SEC","B12"
"2017","3","2","West","1","61","Gonzaga","West Virginia","58","4","WCC","B12"
"2017","3","2","West","2","71","Arizona","Xavier","73","11","P12","BE"
"2017","3","3","Midwest","7","68","Michigan","Oregon","69","3","B10","P12"
"2017","3","3","Midwest","1","98","Kansas","Purdue","66","4","B12","B10"
"2017","3","4","South","1","92","North Carolina","Butler","80","4","ACC","BE"
"2017","3","4","South","2","86","Kentucky","UCLA","75","3","SEC","P12"
"2017","4","1","East","4","70","Florida","South Carolina","77","7","SEC","SEC"
"2017","4","2","West","1","83","Gonzaga","Xavier","59","11","WCC","BE"
"2017","4","3","Midwest","1","60","Kansas","Oregon","74","3","B12","P12"
"2017","4","4","South","1","75","North Carolina","Kentucky","73","2","ACC","SEC"
"2017","5","1","Final Four","7","73","South Carolina","Gonzaga","77","1","SEC","WCC"
"2017","5","2","Final Four","3","76","Oregon","North Carolina","77","1","P12","ACC"
"2017","6","1","Championship","1","65","Gonzaga","North Carolina","71","1","WCC","ACC"
"2018","1","1","South","2","68","Cincinnati","Georgia St","53","15","Amer","SB"
"2018","1","1","South","3","73","Tennessee","Wright St","47","14","SEC","Horz"
"2018","1","1","South","4","68","Arizona","Buffalo","89","13","P12","MAC"
"2018","1","1","South","5","78","Kentucky","Davidson","73","12","SEC","A10"
"2018","1","1","South","6","62","Miami","Loyola Chicago","64","11","ACC","MVC"
"2018","1","1","South","8","59","Creighton","Kansas St","69","9","BE","B12"
"2018","1","1","South","1","54","Virginia","UMBC","74","16","ACC","AE"
"2018","1","1","South","7","87","Nevada","Texas","83","10","MWC","B12"
"2018","1","2","West","8","54","Missouri","Florida St","67","9","SEC","ACC"
"2018","1","2","West","1","102","Xavier","Texas Southern","83","16","BE","SWAC"
"2018","1","2","West","2","84","North Carolina","Lipscomb","66","15","ACC","ASun"
"2018","1","2","West","3","61","Michigan","Montana","47","14","B10","BSky"
"2018","1","2","West","4","68","Gonzaga","UNC Greensboro","64","13","WCC","SC"
"2018","1","2","West","5","81","Ohio St","South Dakota St","73","12","B10","Sum"
"2018","1","2","West","6","67","Houston","San Diego St","65","11","Amer","MWC"
"2018","1","2","West","7","73","Texas A&M","Providence","69","10","SEC","BE"
"2018","1","3","East","2","74","Purdue","Cal St Fullerton","48","15","B10","BW"
"2018","1","3","East","3","70","Texas Tech","Stephen F Austin","60","14","B12","Slnd"
"2018","1","3","East","5","85","West Virginia","Murray St","68","12","B12","OVC"
"2018","1","3","East","6","77","Florida","St Bonaventure","62","11","SEC","A10"
"2018","1","3","East","7","62","Arkansas","Butler","79","10","SEC","BE"
"2018","1","3","East","8","83","Virginia Tech","Alabama","86","9","ACC","SEC"
"2018","1","3","East","1","87","Villanova","Radford","61","16","BE","BSth"
"2018","1","4","Midwest","2","89","Duke","Iona","67","15","ACC","MAAC"
"2018","1","4","Midwest","3","82","Michigan St","Bucknell","78","14","B10","Pat"
"2018","1","4","Midwest","4","62","Auburn","College of Charleston","58","13","SEC","CAA"
"2018","1","4","Midwest","5","79","Clemson","New Mexico St","68","12","ACC","WAC"
